date,Monaco,Luxembourg,Bermuda,Norway,Ireland,Switzerland,Denmark,Qatar,Singapore,Sweden,Australia,United States,Netherlands,"Macao SAR, China",Canada,Iceland,Austria,Finland,Japan,Belgium,Germany,Andorra,France,United Kingdom,United Arab Emirates,New Zealand,"Hong Kong SAR, China",Italy,Israel,Spain,Kuwait,Brunei Darussalam,Cyprus,Malta,"Bahamas, The","Korea, Rep.",Puerto Rico,Slovenia,Portugal,Czech Republic,Greece,Slovak Republic,Bahrain,Estonia,Saudi Arabia,Lithuania,Hungary,Poland,St. Kitts and Nevis,Latvia,Croatia,Barbados,Antigua and Barbuda,Turkey,Trinidad and Tobago,Chile,Oman,Seychelles,Uruguay,Malaysia,Romania,Palau,Russian Federation,Panama,Kazakhstan,Brazil,Mauritius,Mexico,Costa Rica,Argentina,Latin America & Caribbean,St. Lucia,Caribbean small states,Equatorial Guinea,Latin America & Caribbean (excluding high income),Grenada,Gabon,Bulgaria,Montenegro,Maldives,China,Nauru,Libya,Botswana,Suriname,Dominican Republic,Colombia,South Africa,Serbia,Dominica,St. Vincent and the Grenadines,Belarus,Thailand,Peru,Bosnia and Herzegovina,Guyana,"Iran, Islamic Rep.",Azerbaijan,Lebanon,Namibia,North Macedonia,Iraq,Paraguay,Albania,Ecuador,Georgia,Jamaica,Eswatini,Fiji,Armenia,Algeria,Kosovo,Indonesia,Tunisia,Tonga,Mongolia,Belize,Sri Lanka,Tuvalu,Cabo Verde,Samoa,Moldova,El Salvador,Morocco,Philippines,Jordan,Bhutan,Ukraine,Angola,"Egypt, Arab Rep.",West Bank and Gaza,Vanuatu,Bolivia,Papua New Guinea,Uzbekistan,Nigeria,Fragile and conflict affected situations,Honduras,"Congo, Rep.",India,Vietnam,South Asia,Ghana,Lao PDR,Kiribati,Nicaragua,Mauritania,Solomon Islands,Cote d'Ivoire,Sudan,Zambia,Myanmar,Senegal,Cameroon,Comoros,Lesotho,Bangladesh,Cambodia,Benin,Haiti,Kenya,Pakistan,Zimbabwe,Tajikistan,Kyrgyz Republic,IDA only,Least developed countries: UN classification,Tanzania,Timor-Leste,Uganda,Heavily indebted poor countries (HIPC),Guinea,Rwanda,Nepal,Burkina Faso,"Gambia, The",Chad,Mali,Togo,Guinea-Bissau,"Yemen, Rep.",Ethiopia,Mozambique,Afghanistan,Niger,Malawi,Liberia,Madagascar,Sierra Leone,"Congo, Dem. Rep.",Central African Republic,Burundi
1960,0,27086,33363,23167,0,0,20538,0,3503,18062,19378,17563,16387,0,16406,11702,13031,12185,8608,13022,0,0,12744,13934,0,0,0,10879,8789,7376,0,0,0,0,17735,932,5832,0,4501,0,6260,0,0,0,0,0,0,0,0,0,0,0,0,3175,4007,3612,0,2830,5475,1354,0,0,0,2139,0,3417,0,3907,2911,5643,3693,0,0,0,3638,0,4366,0,0,0,192,0,0,408,3335,1324,2339,4624,0,0,1752,0,571,2660,0,2565,2979,0,0,0,0,0,1364,0,2238,0,0,0,1774,0,2481,0,690,0,0,0,1079,0,0,0,0,0,0,0,1100,0,0,0,0,579,0,0,1005,1012,0,1360,1515,1096,1564,330,0,332,1057,0,0,1506,0,0,1226,876,1496,153,1362,957,0,262,372,0,712,1512,537,302,995,0,0,0,0,0,0,0,658,0,351,266,269,0,697,0,375,0,0,0,0,0,826,238,0,819,373,1039,600,213
1961,0,27868,34080,24426,0,0,21696,0,3664,18999,19469,17671,16220,0,16590,11466,13677,13019,9396,13625,0,0,13203,14199,0,0,3381,11693,9456,8173,0,0,0,0,18674,968,6134,0,4712,0,7030,0,0,0,0,0,0,0,0,0,0,0,0,3135,4480,3723,0,2617,5539,1412,0,0,0,2304,0,3660,0,3977,2858,5853,3828,0,0,0,3770,0,4963,0,0,0,141,0,0,425,3400,1251,2383,4685,0,0,1805,0,584,2775,0,2606,3236,0,0,0,0,0,1421,0,2287,0,0,0,1774,0,2091,0,711,0,0,0,1101,586,0,0,0,0,0,0,1124,0,0,0,0,592,0,0,1007,1056,0,1336,1496,1086,1654,336,0,338,1059,0,0,1568,1382,0,1300,854,1471,151,1365,949,0,262,384,0,724,1439,480,313,1023,0,0,581,0,0,0,0,642,0,329,267,276,0,693,0,416,0,0,0,0,0,839,251,0,816,374,903,619,181
1962,0,27903,34763,24912,0,0,22747,0,3833,19699,19246,18463,17085,0,17493,12192,13954,13317,10138,14278,0,0,13911,14234,0,0,3704,12335,9926,8904,0,0,0,0,19609,977,6507,0,4987,0,7014,0,0,0,0,0,0,0,0,0,0,0,0,3230,4527,3794,0,2763,5384,1455,0,0,0,2420,0,3740,0,4035,2903,5711,3903,0,0,0,3845,0,5275,0,0,0,132,0,0,444,3440,1416,2435,4853,0,0,1847,0,609,2968,0,2561,3424,0,0,0,0,0,1430,0,2332,0,0,0,1775,0,1638,0,705,0,0,0,1123,594,0,0,0,0,0,0,1139,0,0,0,0,599,0,0,1042,1102,0,1362,1574,1117,1698,339,0,342,1068,0,0,1686,1352,0,1267,889,1392,154,1326,957,0,296,394,0,689,1523,509,319,1003,0,0,605,0,0,0,0,671,0,360,268,289,0,716,0,427,0,0,0,0,0,899,246,0,814,385,1067,586,193
1963,0,28564,34324,25661,0,0,22713,0,4113,20632,20053,19000,17467,0,18089,13208,14438,13657,10886,14788,0,0,14572,14816,0,0,4142,12932,10590,9673,0,0,0,0,20609,1036,6917,0,5259,0,7816,0,0,0,0,0,0,0,0,0,0,0,0,3440,4713,3935,0,2966,5330,1513,0,0,0,2550,0,3665,0,4229,2993,5323,3895,0,0,0,3825,0,5529,0,0,0,142,0,0,460,3539,1460,2438,5081,0,0,1712,0,639,3009,0,2187,3579,0,0,0,0,0,1458,0,2314,0,0,0,1825,0,2146,0,671,0,0,0,1146,595,0,0,0,0,0,0,1180,0,0,0,0,644,0,0,1091,1125,0,1448,1614,1125,1589,352,0,353,1080,0,0,1813,1287,0,1396,840,1395,170,1314,971,0,321,381,0,710,1466,537,338,1030,0,0,605,0,0,0,0,674,0,319,268,281,0,691,0,444,0,0,0,0,0,956,237,0,787,385,1094,572,197
1964,0,30467,37202,26743,0,0,24620,0,3884,21875,21036,19825,18661,0,18930,14262,15221,14293,12031,15668,0,0,15337,15535,0,0,4392,13185,10988,10086,0,0,0,0,21688,1105,7262,0,5588,0,8520,0,0,0,0,0,0,0,0,0,0,0,0,3542,5013,3957,0,3064,5398,1545,0,0,0,2585,0,3685,0,4588,2995,5773,4071,0,0,0,4006,0,5700,0,0,0,164,0,0,480,3671,1509,2511,5347,0,0,1756,0,662,3115,0,2378,3807,0,0,0,0,0,1480,0,2415,0,0,0,1853,0,2214,0,677,0,0,0,1169,604,0,0,0,0,0,0,1182,0,0,0,0,700,0,0,1112,1197,0,1487,1680,1153,1607,370,0,372,1071,0,0,1964,1595,0,1580,808,1519,157,1327,984,0,341,411,0,745,1414,545,355,985,0,0,616,0,0,0,0,679,0,274,284,284,0,660,0,498,0,0,0,0,0,930,237,0,798,404,1039,573,205
1965,0,29901,38039,27939,0,0,25542,0,4088,22498,21862,20831,19998,0,19765,15051,15649,15001,12595,16079,0,0,15893,15766,0,0,4905,13502,11575,10601,0,0,0,0,22864,1156,7808,0,6030,0,9394,0,0,0,0,0,0,0,0,0,0,0,0,3557,4997,3920,2315,2956,5395,1617,0,0,0,2739,0,3693,0,4763,3132,6286,4170,0,0,0,4106,0,6077,0,0,0,187,0,0,497,4003,1280,2525,5532,0,0,1753,0,695,3198,0,2572,4347,0,0,0,0,0,1530,0,2422,1873,0,0,1751,0,2290,0,666,1113,0,0,1191,605,0,0,0,0,2358,0,1206,0,0,0,0,715,0,0,1143,1293,0,1527,1711,1222,1623,353,0,360,1055,0,0,2087,1797,0,1475,839,1719,170,1308,981,0,342,405,0,770,1417,538,382,999,0,0,623,0,0,0,0,689,0,287,275,290,0,652,0,559,0,0,0,0,0,966,263,0,774,426,1022,568,209
1966,0,30015,42735,28766,0,0,26032,0,4393,22751,21878,21931,20280,0,20701,16090,16416,15299,13809,16475,0,0,16557,15926,0,0,4949,14199,11276,11253,0,0,0,0,23861,1262,8295,0,6323,0,9930,0,0,0,0,0,0,0,0,0,0,0,0,3863,5158,4283,2371,3284,5503,1696,0,0,0,2862,0,3742,0,4898,3244,6152,4229,0,4681,0,4147,0,6237,0,0,0,202,0,0,518,4642,1408,2581,5631,0,0,1735,0,750,3366,0,2655,4709,0,0,0,0,0,1519,0,2345,1991,3796,0,1705,0,2120,0,666,1128,0,0,1211,620,0,0,0,0,2455,815,1222,0,0,0,0,732,0,0,1200,1339,0,1431,1670,1251,1601,345,0,355,985,0,0,2091,1748,0,1587,786,1574,158,1307,1002,0,333,402,0,783,1382,598,393,981,0,0,620,0,0,0,0,689,0,299,289,287,697,628,0,589,0,0,0,0,0,935,290,0,771,426,1061,560,213
1967,0,29982,47478,30311,0,0,27256,0,4835,23337,22965,22236,21110,0,20960,15632,16784,15547,15197,17017,0,0,17220,16282,0,0,4903,15109,11123,11598,0,0,0,0,25082,1345,8742,0,6843,0,10408,0,0,0,0,0,0,0,0,0,0,0,0,3951,5229,4362,3832,3221,5249,1716,0,0,0,3017,0,3821,0,5027,3323,6255,4302,0,4818,0,4219,0,6365,0,0,0,185,0,0,537,5061,1411,2612,5883,0,0,1554,0,790,3399,0,2723,5118,0,0,0,0,0,1615,0,2382,2095,3816,0,1887,0,2256,0,657,1106,0,0,1233,644,0,0,0,0,2517,875,1249,0,0,0,0,719,0,0,1250,1363,0,1180,1584,1287,1591,365,0,370,991,0,0,2171,1756,0,1601,775,1647,145,1255,872,0,362,382,0,776,1327,597,404,1028,0,0,611,0,0,0,0,684,0,310,280,308,679,621,341,594,0,0,0,0,0,910,304,0,792,419,1021,574,237
1968,0,31156,47563,30737,0,0,28595,0,5395,24051,23713,23071,22232,0,21655,14576,17444,15834,17097,17661,0,0,17853,17085,0,0,4963,15996,12662,12202,0,0,0,0,26161,1487,9138,0,7483,0,11086,0,0,0,14253,0,0,0,0,0,0,0,0,4120,5468,4444,6770,3381,5300,1808,0,0,0,3136,0,4147,0,5333,3500,6461,4526,0,5036,0,4448,0,6390,0,0,0,173,0,0,581,5310,1373,2691,5971,0,0,1638,0,830,3311,0,2710,5721,0,0,0,0,1454,1644,0,2358,2169,3985,0,1992,0,2428,0,709,1195,0,0,1286,666,0,0,0,0,2529,939,1273,0,0,0,0,690,0,0,1328,1390,0,1140,1615,1332,1666,369,0,377,972,0,0,2134,1878,0,1737,767,1616,159,1296,905,0,352,406,0,790,1344,623,422,1014,0,0,625,0,0,0,0,695,0,322,276,312,724,607,349,595,0,0,0,0,0,888,290,0,825,420,1035,570,230
1969,0,34096,48286,31861,0,0,30289,0,6050,25079,24858,23555,23389,0,22440,14784,18475,17363,18837,18779,0,0,18979,17341,0,0,5438,16876,14009,13159,0,0,0,0,27535,1666,9913,0,7710,0,12322,0,0,0,14541,0,0,0,0,0,0,0,0,4187,5580,4544,8252,3302,5571,1851,0,0,0,3304,0,4435,0,5348,3589,6981,4690,0,5250,0,4607,0,6764,0,0,0,197,0,0,653,5442,1479,2781,6091,0,0,1668,0,859,3334,0,2859,6480,0,0,0,0,1450,1678,0,2396,2251,4153,0,2000,0,2558,0,737,1224,0,0,1315,701,0,0,0,0,2547,995,1295,0,0,0,0,708,0,0,1359,1471,0,1384,1683,1302,1742,385,0,391,1007,0,0,2200,1845,0,1831,755,1558,160,1176,926,0,350,399,0,796,1369,650,433,1102,0,0,632,0,0,0,0,707,0,346,283,313,721,636,345,631,0,0,0,0,0,816,299,0,833,447,1100,599,221
1970,85789,35457,50401,32245,12745,49581,30542,0,6787,26657,26121,23207,24520,0,24774,16240,19574,18267,18700,19808,19681,41702,19985,17923,0,20080,5796,17671,13450,13572,0,0,0,3727,25196,1793,10611,0,8760,0,13392,0,0,0,22134,0,0,0,0,0,0,0,0,4221,5727,4552,9098,3512,5671,1916,0,0,0,3435,0,4704,0,5524,3755,7084,4877,0,5430,0,4799,0,7206,0,0,0,229,0,0,745,5522,1699,2879,6244,0,0,1828,0,929,3352,0,2942,7011,0,0,0,0,1465,1727,0,2488,2498,4590,1226,2207,0,2708,0,772,1253,0,0,1345,712,0,0,0,0,2554,1019,1305,0,0,0,0,730,0,0,1400,1593,0,1691,1822,1310,1801,396,0,404,1077,0,2394,2163,2004,0,1940,776,1581,164,1240,931,0,350,411,0,795,1354,598,469,1305,0,0,645,0,0,0,0,720,0,356,284,308,743,635,361,622,493,0,0,0,0,817,293,0,854,477,1067,602,264
1971,89372,36057,52515,33836,13034,51332,31242,0,7491,26724,26263,23670,25276,0,25009,18213,20483,18674,19328,20560,20261,41450,20881,18474,0,20531,6086,17909,14461,14033,0,0,0,3817,24942,1944,11106,0,9381,0,14380,0,0,0,25519,0,0,0,0,0,0,0,0,4351,5723,4901,8872,3987,5639,2059,0,0,0,3659,0,5108,0,5561,3906,7368,5076,0,5481,0,4993,0,7796,0,0,0,238,0,0,910,5718,1832,2978,6340,0,0,1862,0,947,3410,0,2996,7812,0,0,0,0,1493,1779,0,2569,2533,4632,1354,2310,0,2335,0,805,1356,0,0,1369,706,0,0,0,0,2584,1054,1337,0,0,0,0,743,0,0,1439,1654,0,1888,1881,1322,1885,394,0,398,1103,0,2302,2167,1981,0,2034,770,1528,167,1201,939,0,359,381,0,766,1417,705,459,1373,0,0,643,0,0,0,0,731,0,350,275,306,721,607,364,602,465,0,0,0,0,840,332,0,863,484,1100,599,267
1972,92243,37973,53861,35368,13675,52572,32284,0,8332,27255,26794,24650,25906,0,26083,19057,21629,20000,20663,21564,21031,42606,21649,19207,0,21204,6604,18465,15810,15010,0,0,0,4044,23531,2045,11670,0,10148,0,15738,0,0,0,29936,0,0,0,0,0,0,0,0,4563,5977,4774,9399,4138,5559,2200,0,0,0,3721,0,5588,0,5841,4121,7369,5309,0,5819,0,5240,0,8522,0,0,0,241,0,0,1114,5704,1968,3134,6275,0,0,2317,0,960,3433,0,2864,8702,0,0,0,0,1499,1852,0,2621,2579,5379,1387,2432,0,2895,0,839,1561,0,0,1481,690,0,0,0,0,2674,1057,1370,0,0,0,0,749,0,0,1520,1706,0,1906,1871,1358,1988,382,0,383,1046,0,2541,2148,1909,0,2026,709,1614,167,1240,939,0,350,322,0,798,1407,797,450,1436,0,0,619,0,0,0,0,724,0,340,278,308,702,599,379,630,485,0,0,0,0,775,343,0,829,478,1073,590,247
1973,96728,40678,55067,36713,14093,53777,33403,0,9045,28288,27077,25794,27091,0,27527,20049,22561,21275,22138,22868,21967,43744,22843,20421,0,22414,7209,19647,16031,16001,0,0,0,4215,24803,2309,12146,0,11281,0,16935,0,0,0,35405,0,0,0,0,0,0,0,0,4600,5990,4462,7754,4444,5573,2401,0,0,0,3813,0,6220,0,6118,4331,7454,5630,0,5709,0,5586,0,9221,0,0,0,254,0,0,1307,5647,2163,3271,6388,0,0,2037,0,1029,3551,0,2868,9193,0,0,0,0,1515,1941,0,2903,2722,5002,1469,2659,0,2924,0,884,1517,0,0,1535,724,0,0,0,0,2735,1073,1450,0,0,0,0,758,0,0,1573,1774,0,1960,1928,1422,2089,386,0,388,1046,0,3028,2217,1768,0,2048,692,1545,162,1136,963,0,432,328,0,809,1450,813,469,1422,0,0,620,0,0,0,0,725,0,342,271,304,744,536,367,638,481,0,0,0,0,625,342,0,785,479,1130,593,262
1974,99441,41842,55966,37917,14452,54267,32875,0,9440,29108,27484,25421,27804,0,28036,20908,23411,21849,21454,23837,22153,44186,23654,19901,0,23268,7153,20592,16569,16716,0,45632,0,4641,20245,2486,12243,0,11252,0,15786,0,0,0,39152,0,0,0,0,0,0,11160,0,4744,6128,4497,8287,4421,5730,2539,0,0,0,3801,0,6623,0,6288,4460,7741,5850,0,5468,0,5817,0,12622,0,0,0,254,0,0,1373,5720,2233,3383,6602,0,0,1837,0,1046,3780,0,3055,9519,0,0,0,0,1703,2053,0,3139,2936,4715,1508,2674,0,3058,0,927,1604,0,0,1716,738,0,0,0,0,2813,1109,1460,0,0,0,0,754,0,0,1584,1776,0,2124,1994,1363,2189,382,0,388,1089,0,4336,2454,1925,0,2039,747,1590,167,1150,1038,0,468,354,0,816,1508,815,472,1464,0,0,643,0,0,0,0,746,0,336,282,323,764,550,355,654,495,0,0,0,0,661,357,0,779,486,1134,621,257
1975,97059,38668,58513,39576,15020,50336,32303,0,9674,29733,27514,25120,27558,0,28033,20776,23388,22145,21766,23301,22043,42711,23280,19609,103605,22424,7054,20042,16720,16626,0,43937,7360,5508,16904,2636,11940,0,10362,0,16634,0,0,0,33902,0,0,0,0,0,0,10881,0,4967,6129,3856,9843,4457,6066,2498,0,0,0,3765,0,6805,0,6466,4441,7618,5929,0,5347,0,5926,0,14747,0,0,0,272,0,0,1435,5920,2290,3386,6543,0,0,1678,0,1071,3838,0,3279,9021,0,0,0,0,1854,2141,0,3389,3130,4634,1666,2636,0,3123,0,949,1680,0,0,1752,769,0,0,0,0,2829,1167,1498,0,0,0,0,803,0,0,1662,1718,0,1959,1956,1351,2289,407,0,407,931,0,4503,2376,1773,0,2108,837,1502,169,1203,1123,0,394,333,0,758,1497,792,478,1388,0,0,629,0,0,0,0,741,0,319,280,327,832,586,389,655,528,0,0,0,0,625,368,0,767,484,1049,612,255
1976,100047,39452,63504,41686,15002,49914,34131,0,10254,29938,27944,26223,28561,0,29293,21797,24502,22154,22464,24574,23234,42634,24165,20185,103767,22433,8091,21363,16404,16995,0,50736,8924,6413,17410,2937,12478,0,10766,0,17500,0,0,0,37981,0,0,0,0,0,0,11290,0,5362,6432,3943,11284,5078,6280,2719,0,0,0,3729,0,7296,2405,6571,4567,7351,6152,0,5347,0,6151,0,19582,0,0,0,263,0,0,1529,6465,2383,3468,6524,0,0,1833,0,1142,3792,0,3293,10261,0,0,0,0,2104,2246,0,3541,3297,4266,1580,2658,0,3291,0,990,1772,0,0,1727,780,0,0,0,0,2907,1264,1586,2171,0,0,0,890,0,0,1701,1618,0,2075,2044,1447,2244,404,0,407,879,0,3250,2424,1869,0,2273,946,1543,176,1277,1032,0,426,344,0,746,1593,779,488,1350,0,0,644,0,0,0,0,751,0,370,286,348,865,592,435,627,551,0,0,0,0,612,375,0,722,471,965,633,270
1977,102457,40002,66997,43237,16015,51303,34661,0,10806,29356,28625,27161,29107,0,29948,23544,25737,22145,23225,24697,24066,42514,24888,20688,109319,21385,8911,21817,16207,17299,0,54170,10382,7166,18600,3248,13028,0,11249,0,17782,0,0,0,38670,0,0,0,4301,0,0,11638,5197,5421,6923,4288,10810,4665,6337,2856,0,0,0,3674,0,7454,2521,6618,4845,7744,6304,3613,5486,0,6293,2944,16742,0,0,0,280,0,0,1647,7130,2441,3532,6359,0,2619,2054,0,1225,3707,0,3171,9542,0,0,0,0,2076,2441,0,3503,3500,4105,1546,2764,0,3366,0,1050,1791,0,0,1814,805,0,0,0,0,3039,1309,1629,2291,0,0,0,948,0,0,1746,1591,0,2136,2091,1549,1984,424,0,423,882,0,3054,2547,1781,0,2331,972,1424,182,1213,1141,0,504,344,0,763,1620,822,492,1218,0,0,649,0,0,0,0,758,0,365,288,342,865,593,454,657,511,0,0,0,0,640,382,0,719,462,945,643,294
1978,105373,41557,67717,44739,16924,51508,35323,0,11506,29783,28548,28363,29708,0,30743,24766,25703,22727,24230,25375,24812,41901,25772,21556,94684,21447,9473,22444,16750,17383,0,55769,11149,7883,20776,3550,13750,0,11442,0,18825,0,0,0,34790,0,0,0,4494,0,0,12143,5436,5380,7513,4549,9857,5619,6634,2969,0,0,0,3934,0,7514,2584,7029,5014,7285,6406,3926,5733,0,6377,3141,12425,0,0,0,307,0,0,1811,7591,2434,3746,6392,0,2862,2232,0,1322,3517,0,3083,7937,0,0,0,0,2355,2664,0,3606,3738,4054,1517,2764,0,3570,0,1095,1863,0,0,1930,835,0,0,0,0,3137,1306,1667,2558,0,0,0,1006,0,0,1743,1683,0,1952,2046,1592,2050,438,0,438,939,0,3041,2277,1721,0,2471,884,1384,190,1138,1352,0,579,359,0,753,1686,846,515,1148,0,0,647,0,0,0,0,756,0,385,294,351,890,579,440,713,578,0,0,0,0,706,406,0,680,462,869,636,284
1979,107828,42433,68914,46536,17214,52685,36599,0,12448,30859,29383,28940,30098,0,31570,25717,27126,24283,25344,25946,25830,40617,26578,22345,102669,22003,10006,23713,17339,17238,0,66020,12158,8623,25633,3799,14656,0,11958,0,19202,0,0,0,36844,0,0,0,4863,0,0,13042,5883,5228,7674,4860,9727,6451,6996,3165,0,0,0,4012,0,7835,2628,7521,5122,7910,6679,4014,5953,0,6640,3336,12190,0,0,0,326,0,0,1955,7530,2485,3861,6470,0,2316,2285,0,1363,3569,0,3002,6859,0,0,0,0,2761,2901,0,3643,3984,3960,1513,3041,0,3725,0,1147,1937,0,0,2041,873,0,0,0,0,2950,1336,1714,3003,0,0,0,1027,0,2964,1708,1670,0,2023,2068,1630,2186,405,0,415,897,0,2650,1624,1751,0,2420,812,1298,195,1188,1391,0,579,366,0,781,1775,876,518,1148,0,0,638,0,0,0,0,742,0,417,294,356,849,446,477,659,587,0,0,0,0,735,411,0,726,473,849,605,282
1980,108207,42637,73205,48504,17541,54891,36378,0,13534,31320,29908,28590,30262,0,31838,26909,27596,25512,25855,27069,26140,40077,26878,21864,116233,22257,10727,24476,17210,17478,0,59413,12718,9134,26701,3679,15098,0,12372,0,19143,0,21185,0,36703,0,0,0,5304,0,0,13556,6372,4986,8345,5172,9756,6121,7355,3317,0,0,0,4429,0,8349,2324,8017,5024,7908,6929,3869,6024,660,6881,3302,12199,3651,0,0,347,0,0,2109,6854,2621,3931,6722,0,2613,2320,0,1404,3688,0,3039,4789,0,0,4216,0,3345,3153,1992,3682,4132,3682,1645,2928,0,3643,0,1231,2027,0,0,2269,909,0,680,0,0,2557,1351,1753,3234,390,0,3193,1103,0,2557,1649,1589,0,2049,2046,1590,2498,423,0,431,881,0,2181,1650,1758,1814,2061,797,1292,206,1119,1323,1403,547,359,0,812,1865,890,553,1269,0,0,625,560,0,0,0,725,0,439,281,351,873,411,448,733,489,0,0,238,0,696,401,0,712,485,845,563,277
1981,107528,42278,74431,49110,17913,55466,36146,0,14294,31425,30419,29029,29819,0,32540,27738,27486,25738,26745,26995,26238,38494,27033,21685,113095,23204,11449,24653,17772,17331,0,46171,12824,9368,23705,3885,15099,0,12464,0,18677,0,19296,0,35166,0,0,0,5416,0,0,13251,6622,5111,8591,5432,10800,5550,7421,3463,0,0,0,4723,0,7797,2425,8494,4779,7381,6804,4058,6013,660,6740,3294,12504,3818,0,0,360,0,0,2220,7328,2673,3933,6895,0,2896,2406,0,1458,3798,0,3078,4366,0,0,4166,0,3228,3346,2065,3789,4314,3721,1822,3038,0,3638,0,1298,2081,2227,1441,2242,946,0,726,0,0,2253,1295,1764,3656,432,0,2947,1155,0,2602,1620,1543,0,1733,1938,1523,2853,438,0,448,828,0,2081,1690,1766,1723,2042,827,1326,214,1143,1503,1413,536,375,0,869,1771,889,577,1379,0,0,628,559,0,0,0,731,0,447,297,357,874,406,445,686,569,0,229,244,0,675,371,0,624,488,843,538,303
1982,108290,42721,69989,49046,18150,54421,37506,0,14651,31799,30912,28235,29315,16453,31130,27960,28019,26389,27444,27163,26159,37366,27567,22125,99320,23188,11605,24736,17804,17442,0,46590,13436,9378,24734,4144,14706,0,12653,0,18352,0,17291,0,26158,0,0,0,5475,0,0,12563,6619,5174,8773,4767,11400,5456,6653,3584,0,0,0,4861,0,7661,2527,8253,4312,7210,6627,4089,5996,627,6584,3337,11812,3895,0,0,387,0,0,2406,7005,2659,3885,6682,0,3028,2494,0,1507,3699,0,2674,5333,0,0,4058,0,3249,3205,2081,3717,4363,3734,1781,2783,0,3752,0,1297,2013,2327,1522,2181,971,0,732,2275,0,2079,1377,1779,3762,436,0,2844,1237,0,2591,1525,1507,0,1573,1860,1447,3425,443,0,454,749,0,2194,1630,1675,1639,1959,847,1245,222,1198,1567,1460,545,374,0,864,1668,868,594,1365,0,0,616,552,0,0,402,719,0,441,302,382,841,418,404,638,581,0,224,222,0,670,371,0,595,500,818,562,292
1983,107751,43986,70781,50825,17977,54534,38506,0,15699,32389,29850,29261,29808,17424,31626,26998,28898,27050,28217,27249,26640,36396,27757,23051,89704,23674,12113,25016,18071,17665,0,45496,14070,9190,25066,4630,14215,0,12572,0,18049,0,17906,0,20623,0,0,0,5573,0,0,12591,6973,5310,7745,4466,12606,5369,5931,3718,0,0,0,4537,0,7231,2514,7785,4316,7404,6323,4237,5780,608,6288,3354,12154,4019,0,0,423,0,0,2631,6707,2723,3862,6381,0,3127,2529,0,1562,3236,0,2500,5555,0,0,3891,0,2751,3018,2060,3612,4511,3743,1740,2605,0,3833,0,1321,2047,2371,1571,2075,1003,0,786,2271,0,2082,1363,1763,3530,473,0,2860,1267,0,2609,1434,1514,0,1366,1725,1416,3522,464,0,473,694,0,2147,1660,1687,1649,1805,835,1180,227,1101,1623,1489,541,378,0,803,1644,846,614,1336,0,0,605,549,0,0,412,705,0,452,286,374,904,472,403,581,548,0,236,184,0,626,375,0,583,479,810,501,295
1984,107766,46659,70501,53750,18644,55974,40131,0,16760,33728,30866,31108,30599,18134,33180,27816,28915,27777,29301,27922,27487,35450,28020,23537,88583,24595,13191,25818,18002,17905,0,44490,15105,9275,28016,5055,14909,0,12288,0,18321,0,18305,0,18525,0,0,0,6107,0,0,13008,7682,5544,7192,4583,13993,5578,5826,3908,0,0,0,4556,0,7443,2604,7872,4538,7400,6426,4482,5764,571,6387,3387,12725,4145,0,0,480,0,0,2758,6535,2700,3908,6527,0,3286,2676,0,1622,3275,0,2385,4862,0,0,3779,0,2643,3014,1992,3615,4715,3630,1784,2764,0,3924,0,1382,2105,2410,1621,2056,1040,0,800,2287,0,2081,1417,1590,3532,482,0,2925,1355,0,2795,1402,1469,0,1317,1695,1461,3661,471,378,481,731,423,2215,1592,1587,1600,1685,768,1138,233,1108,1691,1508,557,386,0,843,1611,829,624,1264,0,0,599,547,0,0,398,696,0,417,306,358,903,470,394,591,583,0,222,169,0,506,382,0,576,487,834,533,288
1985,108384,47869,68511,56565,19189,57774,41721,0,16633,34400,32045,32119,31243,17521,34436,28506,29623,28643,30647,28375,28190,34733,28316,24458,80886,24838,13149,26532,18402,18255,0,42602,15651,9349,28786,5398,15221,0,12599,0,18708,0,16926,0,15819,0,0,0,6681,0,0,13112,8269,5659,6806,4698,15236,6148,5873,3768,0,0,0,4676,0,7863,2763,7872,4449,6905,6524,4778,5707,607,6484,3537,12098,4257,0,0,538,0,0,2849,6595,2588,3946,6283,0,3362,2821,0,1667,3265,0,2458,4770,0,0,3683,0,2619,3060,1986,3665,4905,3479,1789,2594,0,3948,0,1387,2165,2565,1668,2020,1076,0,853,2366,0,2066,1469,1435,3300,488,0,2922,1396,0,2759,1351,1488,0,1360,1694,1497,3517,485,383,496,746,432,2021,1490,1589,1504,1692,698,1119,235,1110,1770,1499,558,389,0,880,1584,832,649,1304,1381,0,595,543,0,0,372,690,0,418,318,379,860,557,465,603,593,0,191,169,0,530,383,0,567,449,816,540,313
